season,page_no,uuid,date_key,paifu_url
2,2,260829-1ae88a67-1862-42dd-83ce-6c8a82d15b65,260829,https://game.mahjongsoul.com/?paipu=260829-1ae88a67-1862-42dd-83ce-6c8a82d15b65
2,1,260829-1c91086c-3bf1-4283-9d6e-a4a4251c2ac9,260829,https://game.mahjongsoul.com/?paipu=260829-1c91086c-3bf1-4283-9d6e-a4a4251c2ac9
2,2,260829-2547e079-3dbb-4f84-8aa3-85a86eaa8814,260829,https://game.mahjongsoul.com/?paipu=260829-2547e079-3dbb-4f84-8aa3-85a86eaa8814
2,1,260829-2d7d3ebb-acc4-4bef-8c0f-1d07de918951,260829,https://game.mahjongsoul.com/?paipu=260829-2d7d3ebb-acc4-4bef-8c0f-1d07de918951
2,2,260829-8f1779f8-28eb-4c17-bd09-42c68066c037,260829,https://game.mahjongsoul.com/?paipu=260829-8f1779f8-28eb-4c17-bd09-42c68066c037
2,2,260829-92f7c93e-3d88-4e0a-aa5d-d85c9b7b74ca,260829,https://game.mahjongsoul.com/?paipu=260829-92f7c93e-3d88-4e0a-aa5d-d85c9b7b74ca
2,2,260829-a76898d2-a0cc-47c2-a891-781dd359da89,260829,https://game.mahjongsoul.com/?paipu=260829-a76898d2-a0cc-47c2-a891-781dd359da89
2,1,260829-d3e3f842-0cc4-48c8-8563-46a835f89c72,260829,https://game.mahjongsoul.com/?paipu=260829-d3e3f842-0cc4-48c8-8563-46a835f89c72
2,2,260829-d5ecf33f-6893-4e67-9931-bce1b0e122e2,260829,https://game.mahjongsoul.com/?paipu=260829-d5ecf33f-6893-4e67-9931-bce1b0e122e2
2,1,260830-361c7a07-c01c-45be-8920-65f60c50378f,260830,https://game.mahjongsoul.com/?paipu=260830-361c7a07-c01c-45be-8920-65f60c50378f
2,1,260830-5bc3d15b-3bb1-47a6-949e-86294bc3d264,260830,https://game.mahjongsoul.com/?paipu=260830-5bc3d15b-3bb1-47a6-949e-86294bc3d264
2,1,260830-9c6faf40-5297-451f-9319-315e5c66cb8a,260830,https://game.mahjongsoul.com/?paipu=260830-9c6faf40-5297-451f-9319-315e5c66cb8a
2,1,260830-a11b0bdb-cdb4-425e-945f-8144c22699d2,260830,https://game.mahjongsoul.com/?paipu=260830-a11b0bdb-cdb4-425e-945f-8144c22699d2
2,1,260830-c95a70f5-abca-418d-b249-7dab0a5a6a47,260830,https://game.mahjongsoul.com/?paipu=260830-c95a70f5-abca-418d-b249-7dab0a5a6a47
2,1,260830-d427d604-625d-473b-887a-47482a824c8b,260830,https://game.mahjongsoul.com/?paipu=260830-d427d604-625d-473b-887a-47482a824c8b
2,1,260830-f5cc6e0c-0f42-4ab7-a188-d508a58c4667,260830,https://game.mahjongsoul.com/?paipu=260830-f5cc6e0c-0f42-4ab7-a188-d508a58c4667
2,1,260831-24be409e-3117-4c26-86ce-08de6f2bf581,260831,https://game.mahjongsoul.com/?paipu=260831-24be409e-3117-4c26-86ce-08de6f2bf581
2,1,260831-58703196-d10c-416f-aa65-41011513d68d,260831,https://game.mahjongsoul.com/?paipu=260831-58703196-d10c-416f-aa65-41011513d68d
2,1,260831-637c01a0-7412-492c-a0a2-4350e1dc553f,260831,https://game.mahjongsoul.com/?paipu=260831-637c01a0-7412-492c-a0a2-4350e1dc553f
2,1,260831-a6b437e9-aff3-48df-a32a-efdd04c834e7,260831,https://game.mahjongsoul.com/?paipu=260831-a6b437e9-aff3-48df-a32a-efdd04c834e7
2,1,260831-d3a62859-78ce-479c-9b27-84994bf69bb6,260831,https://game.mahjongsoul.com/?paipu=260831-d3a62859-78ce-479c-9b27-84994bf69bb6
2,1,260831-d8fbaf6e-352e-4bb0-81ce-a2609c918e79,260831,https://game.mahjongsoul.com/?paipu=260831-d8fbaf6e-352e-4bb0-81ce-a2609c918e79
2,1,260831-e126917b-cfbd-453d-b198-c3a651c7d1fb,260831,https://game.mahjongsoul.com/?paipu=260831-e126917b-cfbd-453d-b198-c3a651c7d1fb
2,1,260831-e695c0f5-9c5b-41b0-932b-191a513e4fe8,260831,https://game.mahjongsoul.com/?paipu=260831-e695c0f5-9c5b-41b0-932b-191a513e4fe8
2,2,260901-0bfbbcb3-bb27-4ac7-86c8-b18408f2ecdc,260901,https://game.mahjongsoul.com/?paipu=260901-0bfbbcb3-bb27-4ac7-86c8-b18408f2ecdc
2,1,260901-1397e112-d993-453c-a91a-b2b243303481,260901,https://game.mahjongsoul.com/?paipu=260901-1397e112-d993-453c-a91a-b2b243303481
2,1,260901-158eaf45-7d18-4d5e-b594-ba1d11dd8669,260901,https://game.mahjongsoul.com/?paipu=260901-158eaf45-7d18-4d5e-b594-ba1d11dd8669
2,1,260901-24fedfdd-f1dd-4da2-a021-79c4bede8b9f,260901,https://game.mahjongsoul.com/?paipu=260901-24fedfdd-f1dd-4da2-a021-79c4bede8b9f
2,1,260901-626c6f62-1a4b-4fb8-8264-f416be60f25c,260901,https://game.mahjongsoul.com/?paipu=260901-626c6f62-1a4b-4fb8-8264-f416be60f25c
2,1,260901-752aca60-facf-44eb-87f3-20419d96f156,260901,https://game.mahjongsoul.com/?paipu=260901-752aca60-facf-44eb-87f3-20419d96f156
2,1,260901-7713b3d2-c170-4c2b-8931-a65e74849d35,260901,https://game.mahjongsoul.com/?paipu=260901-7713b3d2-c170-4c2b-8931-a65e74849d35
2,1,260901-7cc5575e-7123-422c-8e66-16e1e9065a84,260901,https://game.mahjongsoul.com/?paipu=260901-7cc5575e-7123-422c-8e66-16e1e9065a84
2,2,260901-7fb96e47-5bd6-41a6-9ecd-b44cb541f9a5,260901,https://game.mahjongsoul.com/?paipu=260901-7fb96e47-5bd6-41a6-9ecd-b44cb541f9a5
2,1,260901-95b4c725-0161-4050-9bbe-e487331e1fd2,260901,https://game.mahjongsoul.com/?paipu=260901-95b4c725-0161-4050-9bbe-e487331e1fd2
2,1,260901-9da21e59-8945-47cc-b562-70c2e850b461,260901,https://game.mahjongsoul.com/?paipu=260901-9da21e59-8945-47cc-b562-70c2e850b461
2,1,260901-ab086d38-2c62-40e5-9f9f-551a036f0238,260901,https://game.mahjongsoul.com/?paipu=260901-ab086d38-2c62-40e5-9f9f-551a036f0238
2,2,260901-f1ceca61-07ff-4461-8b0d-7c883ec57284,260901,https://game.mahjongsoul.com/?paipu=260901-f1ceca61-07ff-4461-8b0d-7c883ec57284
2,2,260901-f5760fbe-1e72-4d09-a7e2-e8b50577f849,260901,https://game.mahjongsoul.com/?paipu=260901-f5760fbe-1e72-4d09-a7e2-e8b50577f849
